The Hunger Games,Suzanne Collins,374,2008,"['young-adult', 'fiction', 'science-fiction', 'dystopia', 'fantasy', 'science-fiction', 'romance', 'adventure', 'young-adult', 'teen', 'apocalyptic', 'post-apocalyptic', 'action']",6765542,4.32,http://www.goodreads.com/book/show/2767052-the-hunger-games
Harry Potter and the Order of the Phoenix,J.K. Rowling,870,2003,"['fantasy', 'young-adult', 'fiction', 'fantasy', 'magic', 'childrens', 'adventure', 'audiobook', 'childrens', 'middle-grade', 'classics', 'science-fiction-fantasy']",2689580,4.5,http://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
To Kill a Mockingbird,Harper Lee,324,1960,"['classics', 'fiction', 'historical', 'historical-fiction', 'academic', 'school', 'literature', 'young-adult', 'historical', 'novels', 'academic', 'read-for-school', 'young-adult', 'high-school']",4809952,4.28,http://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
Pride and Prejudice,Jane Austen,279,1813,"['classics', 'fiction', 'romance', 'historical', 'historical-fiction', 'literature', 'historical', 'novels', 'romance', 'historical-romance', 'adult', 'audiobook']",3235457,4.27,http://www.goodreads.com/book/show/1885.Pride_and_Prejudice
Twilight,Stephenie Meyer,501,2005,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal', 'vampires', 'fantasy', 'paranormal', 'romance', 'paranormal-romance', 'fantasy', 'supernatural', 'young-adult', 'teen', 'fantasy', 'urban-fantasy']",5267166,3.61,http://www.goodreads.com/book/show/41865.Twilight
The Book Thief,Markus Zusak,552,2005,"['historical', 'historical-fiction', 'fiction', 'young-adult', 'historical', 'classics', 'war', 'world-war-ii', 'holocaust', 'war', 'world-war-ii', 'audiobook', 'writing', 'books-about-books']",1971846,4.38,http://www.goodreads.com/book/show/19063.The_Book_Thief
Animal Farm,George Orwell,141,1945,"['classics', 'fiction', 'science-fiction', 'dystopia', 'fantasy', 'literature', 'politics', 'academic', 'school', 'science-fiction', 'novels', 'academic', 'read-for-school']",2953055,3.96,http://www.goodreads.com/book/show/170448.Animal_Farm
The Chronicles of Narnia,C.S. Lewis,767,1956,"['fantasy', 'classics', 'fiction', 'young-adult', 'childrens', 'christian', 'adventure', 'childrens', 'middle-grade', 'science-fiction-fantasy', 'christian-fiction']",552894,4.25,http://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728,1955,"['fantasy', 'fiction', 'classics', 'adventure', 'science-fiction-fantasy', 'fantasy', 'epic-fantasy', 'fantasy', 'high-fantasy', 'young-adult', 'literature', 'fantasy', 'magic']",115593,4.6,http://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
The Fault in Our Stars,John Green,313,2012,"['young-adult', 'romance', 'fiction', 'contemporary', 'realistic-fiction', 'young-adult', 'teen', 'young-adult', 'coming-of-age', 'novels', 'drama', 'love']",3841147,4.19,http://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
Gone with the Wind,Margaret Mitchell,1037,1936,"['classics', 'historical', 'historical-fiction', 'fiction', 'romance', 'historical', 'war', 'literature', 'military-history', 'civil-war', 'romance', 'historical-romance', 'novels']",1110889,4.3,http://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Giving Tree,Shel Silverstein,64,1964,"['childrens', 'childrens', 'picture-books', 'fiction', 'classics', 'poetry', 'young-adult', 'fantasy', 'childrens', 'juvenile', 'kids', 'short-stories']",957737,4.37,http://www.goodreads.com/book/show/370493.The_Giving_Tree
Wuthering Heights,Emily Brontë,464,1847,"['classics', 'fiction', 'romance', 'gothic', 'literature', 'historical', 'historical-fiction', 'literature', '19th-century', 'novels', 'classics', 'classic-literature', 'historical']",1426882,3.87,http://www.goodreads.com/book/show/6185.Wuthering_Heights
The Picture of Dorian Gray,Oscar Wilde,272,1890,"['classics', 'fiction', 'horror', 'fantasy', 'literature', 'gothic', 'novels', 'literature', '19th-century', 'lgbt', 'classics', 'classic-literature']",1053951,4.09,http://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
The Da Vinci Code,Dan Brown,489,2003,"['fiction', 'mystery', 'thriller', 'suspense', 'thriller', 'mystery-thriller', 'historical', 'historical-fiction', 'adventure', 'novels', 'mystery', 'crime', 'adult']",2031257,3.87,http://www.goodreads.com/book/show/968.The_Da_Vinci_Code
Memoirs of a Geisha,Arthur Golden,503,1997,"['fiction', 'historical', 'historical-fiction', 'romance', 'historical', 'classics', 'cultural', 'japan', 'adult', 'novels', 'cultural', 'asia', 'adult-fiction']",1781593,4.13,http://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
