Brainwalker,Robyn Mundell,No encontrado,2016,"['fantasy', 'young-adult', 'childrens', 'childrens', 'middle-grade', 'adventure', 'science-fiction-fantasy', 'young-adult', 'young-adult-fantasy', 'fiction', 'drama', 'new-adult']",21809,4.36,http://www.goodreads.com/book/show/30346601-brainwalker
Pleasant Day,Vera Jane Cook,No encontrado,2015,"['contemporary', 'drama', 'book-club', 'fiction', 'novels', 'epic']",5688,4.32,http://www.goodreads.com/book/show/44575575-pleasant-day
"Karolina Dalca, Dark Eyes",M.R. Noble,No encontrado,2020,"['novels', 'fiction', 'drama', 'contemporary', 'epic']",6804,4.27,http://www.goodreads.com/book/show/55605912-karolina-dalca-dark-eyes
Dueling Fates,Stephanie M. Allen,No encontrado,2020,"['epic', 'novels', 'drama', 'fiction', 'contemporary']",6346,4.3,http://www.goodreads.com/book/show/54331802-dueling-fates
Tooth for Tooth,J.K. Franko,No encontrado,2020,"['fiction', 'novels', 'drama', 'contemporary', 'epic']",6219,4.31,http://www.goodreads.com/book/show/52117056-tooth-for-tooth
Slow Brewing Tea,Randy Loubier,No encontrado,2020,"['fiction', 'drama', 'novels', 'contemporary', 'book-club', 'inspirational', 'education']",7279,4.29,http://www.goodreads.com/book/show/55014950-slow-brewing-tea
Red Storm Rising,Tom Clancy,No encontrado,1986,"['fiction', 'thriller', 'war', 'military-fiction', 'war', 'action', 'spy-thriller', 'espionage', 'suspense', 'adventure', 'mystery', 'historical', 'historical-fiction']",71673,4.17,http://www.goodreads.com/book/show/318525.Red_Storm_Rising
Where There's Smoke,Kirsten Fullmer,No encontrado,2020,"['contemporary', 'drama', 'fiction', 'novels', 'epic']",6682,4.25,http://www.goodreads.com/book/show/53354670-where-there-s-smoke
JOURNEY TO THE WEST: A Long March from Eastern Dream to Western Reality,Biao  Wang,No encontrado,2020,"['autobiography', 'memoir']",51,4.57,http://www.goodreads.com/book/show/56397497-journey-to-the-west
A Bird Without Wings,Roberta Pearce,No encontrado,2013,"['romance', 'contemporary', 'romance', 'contemporary-romance']",170,4.17,http://www.goodreads.com/book/show/19181419-a-bird-without-wings
Frankie the Ferret,Kimberley   Paterson,No encontrado,2019,"['contemporary', 'fiction', 'epic']",1467,4.33,http://www.goodreads.com/book/show/52677419-frankie-the-ferret
A Summer of Good-Byes (Blue Triangle Press Book 2),Fred Misurella,No encontrado,2017,"['fiction', 'novels', 'adult', 'contemporary', 'adventure', 'young-adult', 'new-adult', 'drama', 'book-club', 'mystery']",1714,4.36,http://www.goodreads.com/book/show/34937453-a-summer-of-good-byes
Thirteen for Dinner,Kathleen Lopez,No encontrado,2020,"['contemporary', 'novels', 'fiction', 'drama', 'epic']",1095,4.25,http://www.goodreads.com/book/show/55921885-thirteen-for-dinner
Appellate Judge: A Jack Ludefance Novel (Jack Ludefance PI Series),Behcet Kaya,No encontrado,2020,"['contemporary', 'fiction', 'drama', 'novels']",1146,4.32,http://www.goodreads.com/book/show/56121234-appellate-judge
"The Fairy Next Book (A Fairy Awesome Series, #2)",Ellie Aiden,No encontrado,2020,[],436,3.86,http://www.goodreads.com/book/show/56124048-the-fairy-next-book
The Fairiest Fairy of Them All,Ellie Aiden,No encontrado,2021,[],413,4.11,http://www.goodreads.com/book/show/56652791-the-fairiest-fairy-of-them-all
Crashing Down to Earth,Terry  Reid,No encontrado,2013,"['paranormal', 'angels']",102,4.33,http://www.goodreads.com/book/show/18136407-crashing-down-to-earth
The House at Pooh Corner and Now We Are Six,A.A. Milne,No encontrado,1997,"['childrens', 'classics', 'poetry', 'childrens', 'juvenile', 'fiction', 'animals']",658,4.27,http://www.goodreads.com/book/show/1370123.The_House_at_Pooh_Corner_and_Now_We_Are_Six
Diya aur baati hum,Snehlata Agarwala,No encontrado,2020,[],117,4.76,http://www.goodreads.com/book/show/52387868-diya-aur-baati-hum
Mad Love,Lynessa Layne,No encontrado,2020,[],66,4.21,http://www.goodreads.com/book/show/55961601-mad-love
A Taste of Peace,J.J. Sorel,No encontrado,2021,"['novels', 'drama', 'contemporary', 'fiction']",523,4.33,http://www.goodreads.com/book/show/56825276-a-taste-of-peace
