The Aeneid,Virgil,442,0,"['classics', 'poetry', 'fiction', 'fantasy', 'mythology', 'literature', 'academic', 'school', 'epic', 'fantasy', 'literature', 'ancient', 'classics', 'classic-literature']",110928,3.85,http://www.goodreads.com/book/show/12914.The_Aeneid
Metamorphoses,Ovid,723,0,"['classics', 'poetry', 'fantasy', 'mythology', 'fiction', 'literature', 'fantasy', 'literature', 'ancient', 'academic', 'school', 'philosophy', 'classics', 'classic-literature']",60370,4.07,http://www.goodreads.com/book/show/1715.Metamorphoses
Annabel Horton: Lost Witch of Salem,Vera Jane Cook,402,['2011'],"['contemporary', 'epic', 'fantasy', 'paranormal', 'paranormal', 'witches', 'historical', 'historical-fiction', 'historical', 'fantasy', 'fiction']",280,4.32,http://www.goodreads.com/book/show/17899134-annabel-horton
To Dream the Blackbane,Richard J.   O'Brien,261,['2018'],"['fiction', 'contemporary', 'novels', 'book-club', 'drama', 'epic']",580,4.53,http://www.goodreads.com/book/show/43251704-to-dream-the-blackbane
Betrayal In Black,Mark M. Bello,No encontrado,2019,"['contemporary', 'novels', 'epic', 'fiction']",929,4.39,http://www.goodreads.com/book/show/44597035-betrayal-in-black
Letters from a Stoic,Seneca,256,0,"['philosophy', 'non-fiction', 'classics', 'history', 'self-help', 'psychology', 'self-help', 'personal-development', 'writing', 'essays', 'roman', 'literature', 'ancient']",23893,4.35,http://www.goodreads.com/book/show/97411.Letters_from_a_Stoic
Avaland,Amy Croucher Rose,342,['2018'],[],26,4.73,http://www.goodreads.com/book/show/40273980-avaland
On the Shortness of Life,Seneca,106,0,"['philosophy', 'non-fiction', 'classics', 'self-help', 'writing', 'essays', 'self-help', 'personal-development', 'psychology', 'history', 'audiobook', 'spirituality']",21762,4.19,http://www.goodreads.com/book/show/97412.On_the_Shortness_of_Life
The Satyricon,Petronius,272,0,"['classics', 'fiction', 'poetry', 'literature', 'literature', 'ancient', 'roman', 'humor', 'novels', 'history', 'ancient-history', 'academic', 'school']",7278,3.8,http://www.goodreads.com/book/show/168214.The_Satyricon
Night That Jimi Died,Darragh J Brady,175,2018,[],36,4.89,http://www.goodreads.com/book/show/40580446-night-that-jimi-died
Wuthering Heights by Emily Brontë,Hilda D. Spear,96,1847,"['classics', 'fiction', 'romance', 'literature', 'classics', 'classic-literature', 'historical', 'historical-fiction', 'novels', 'gothic', 'european-literature', 'british-literature', 'historical', 'victorian']",22600,4.12,http://www.goodreads.com/book/show/130346.Wuthering_Heights_by_Emily_Bront_
الشيخ زعرب وآخرون,يوسف السباعي,No encontrado,0,"['short-stories', 'fiction']",153,3.64,http://www.goodreads.com/book/show/2930763
The Conquest of Gaul,Gaius Julius Caesar,269,0,"['history', 'classics', 'non-fiction', 'history', 'ancient-history', 'war', 'biography', 'military', 'military-history', 'roman', 'war', 'military-fiction', 'literature', 'ancient']",9768,3.99,http://www.goodreads.com/book/show/592167.The_Conquest_of_Gaul
